Date,Date.1,fear_greed,fg_ma7,fg_ma14,fg_change,fg_change7,fg_extreme_fear,fg_extreme_greed
1970-01-01 00:00:00.000004744,2023-07-15,56.0,57.85714285714285,58.85714285714285,-4.0,-2.0,0.0,0.0
1970-01-01 00:00:00.000004745,2023-07-16,57.0,58.142857142857146,58.42857142857143,1.0,2.0,0.0,0.0
1970-01-01 00:00:00.000004746,2023-07-17,54.0,57.85714285714285,57.85714285714285,-3.0,-2.0,0.0,0.0
1970-01-01 00:00:00.000004747,2023-07-18,56.0,57.71428571428572,57.285714285714285,2.0,-1.0,0.0,0.0
1970-01-01 00:00:00.000004748,2023-07-19,50.0,55.71428571428572,56.5,-6.0,-14.0,0.0,0.0
1970-01-01 00:00:00.000004749,2023-07-20,56.0,55.57142857142857,56.5,6.0,-1.0,0.0,0.0
1970-01-01 00:00:00.000004750,2023-07-21,50.0,54.142857142857146,56.142857142857146,-6.0,-10.0,0.0,0.0
1970-01-01 00:00:00.000004751,2023-07-22,52.0,53.57142857142857,55.71428571428572,2.0,-4.0,0.0,0.0
1970-01-01 00:00:00.000004752,2023-07-23,54.0,53.142857142857146,55.642857142857146,2.0,-3.0,0.0,0.0
1970-01-01 00:00:00.000004753,2023-07-24,55.0,53.285714285714285,55.57142857142857,1.0,1.0,0.0,0.0
1970-01-01 00:00:00.000004754,2023-07-25,50.0,52.42857142857143,55.07142857142857,-5.0,-6.0,0.0,0.0
1970-01-01 00:00:00.000004755,2023-07-26,51.0,52.57142857142857,54.142857142857146,1.0,1.0,0.0,0.0
1970-01-01 00:00:00.000004756,2023-07-27,51.0,51.85714285714285,53.71428571428572,0.0,-5.0,0.0,0.0
1970-01-01 00:00:00.000004757,2023-07-28,52.0,52.142857142857146,53.142857142857146,1.0,2.0,0.0,0.0
1970-01-01 00:00:00.000004758,2023-07-29,52.0,52.142857142857146,52.85714285714285,0.0,0.0,0.0,0.0
1970-01-01 00:00:00.000004759,2023-07-30,52.0,51.85714285714285,52.5,0.0,-2.0,0.0,0.0
1970-01-01 00:00:00.000004760,2023-07-31,50.0,51.142857142857146,52.21428571428572,-2.0,-5.0,0.0,0.0
1970-01-01 00:00:00.000004761,2023-08-01,53.0,51.57142857142857,52.0,3.0,3.0,0.0,0.0
1970-01-01 00:00:00.000004762,2023-08-02,53.0,51.85714285714285,52.21428571428572,0.0,2.0,0.0,0.0
1970-01-01 00:00:00.000004763,2023-08-03,52.0,52.0,51.92857142857143,-1.0,1.0,0.0,0.0
1970-01-01 00:00:00.000004764,2023-08-04,54.0,52.285714285714285,52.21428571428572,2.0,2.0,0.0,0.0
1970-01-01 00:00:00.000004765,2023-08-05,50.0,52.0,52.07142857142857,-4.0,-2.0,0.0,0.0
1970-01-01 00:00:00.000004766,2023-08-06,49.0,51.57142857142857,51.71428571428572,-1.0,-3.0,0.0,0.0
1970-01-01 00:00:00.000004767,2023-08-07,49.0,51.42857142857143,51.285714285714285,0.0,-1.0,0.0,0.0
1970-01-01 00:00:00.000004768,2023-08-08,54.0,51.57142857142857,51.57142857142857,5.0,1.0,0.0,0.0
1970-01-01 00:00:00.000004769,2023-08-09,50.0,51.142857142857146,51.5,-4.0,-3.0,0.0,0.0
1970-01-01 00:00:00.000004770,2023-08-10,53.0,51.285714285714285,51.642857142857146,3.0,1.0,0.0,0.0
1970-01-01 00:00:00.000004771,2023-08-11,51.0,50.85714285714285,51.57142857142857,-2.0,-3.0,0.0,0.0
1970-01-01 00:00:00.000004772,2023-08-12,54.0,51.42857142857143,51.71428571428572,3.0,4.0,0.0,0.0
1970-01-01 00:00:00.000004773,2023-08-13,54.0,52.142857142857146,51.85714285714285,0.0,5.0,0.0,0.0
1970-01-01 00:00:00.000004774,2023-08-14,50.0,52.285714285714285,51.85714285714285,-4.0,1.0,0.0,0.0
1970-01-01 00:00:00.000004775,2023-08-15,53.0,52.142857142857146,51.85714285714285,3.0,-1.0,0.0,0.0
1970-01-01 00:00:00.000004776,2023-08-16,52.0,52.42857142857143,51.785714285714285,-1.0,2.0,0.0,0.0
1970-01-01 00:00:00.000004777,2023-08-17,50.0,52.0,51.642857142857146,-2.0,-3.0,0.0,0.0
1970-01-01 00:00:00.000004778,2023-08-18,37.0,50.0,50.42857142857143,-13.0,-14.0,0.0,0.0
1970-01-01 00:00:00.000004779,2023-08-19,39.0,47.85714285714285,49.642857142857146,2.0,-15.0,0.0,0.0
1970-01-01 00:00:00.000004780,2023-08-20,37.0,45.42857142857143,48.785714285714285,-2.0,-17.0,0.0,0.0
1970-01-01 00:00:00.000004781,2023-08-21,38.0,43.71428571428572,48.0,1.0,-12.0,0.0,0.0
1970-01-01 00:00:00.000004782,2023-08-22,37.0,41.42857142857143,46.785714285714285,-1.0,-16.0,0.0,0.0
1970-01-01 00:00:00.000004783,2023-08-23,37.0,39.285714285714285,45.85714285714285,0.0,-15.0,0.0,0.0
1970-01-01 00:00:00.000004784,2023-08-24,41.0,38.0,45.0,4.0,-9.0,0.0,0.0
1970-01-01 00:00:00.000004785,2023-08-25,39.0,38.285714285714285,44.142857142857146,-2.0,2.0,0.0,0.0
1970-01-01 00:00:00.000004786,2023-08-26,38.0,38.142857142857146,43.0,-1.0,-1.0,0.0,0.0
1970-01-01 00:00:00.000004787,2023-08-27,38.0,38.285714285714285,41.85714285714285,0.0,1.0,0.0,0.0
1970-01-01 00:00:00.000004788,2023-08-28,39.0,38.42857142857143,41.07142857142857,1.0,1.0,0.0,0.0
1970-01-01 00:00:00.000004789,2023-08-29,39.0,38.71428571428572,40.07142857142857,0.0,2.0,0.0,0.0
1970-01-01 00:00:00.000004790,2023-08-30,49.0,40.42857142857143,39.85714285714285,10.0,12.0,0.0,0.0
1970-01-01 00:00:00.000004791,2023-08-31,52.0,42.0,40.0,3.0,11.0,0.0,0.0
1970-01-01 00:00:00.000004792,2023-09-01,40.0,42.142857142857146,40.21428571428572,-12.0,1.0,0.0,0.0
1970-01-01 00:00:00.000004793,2023-09-02,39.0,42.285714285714285,40.21428571428572,-1.0,1.0,0.0,0.0
1970-01-01 00:00:00.000004794,2023-09-03,40.0,42.57142857142857,40.42857142857143,1.0,2.0,0.0,0.0
1970-01-01 00:00:00.000004795,2023-09-04,40.0,42.71428571428572,40.57142857142857,0.0,1.0,0.0,0.0
1970-01-01 00:00:00.000004796,2023-09-05,40.0,42.85714285714285,40.785714285714285,0.0,1.0,0.0,0.0
1970-01-01 00:00:00.000004797,2023-09-06,42.0,41.85714285714285,41.142857142857146,2.0,-7.0,0.0,0.0
1970-01-01 00:00:00.000004798,2023-09-07,41.0,40.285714285714285,41.142857142857146,-1.0,-11.0,0.0,0.0
1970-01-01 00:00:00.000004799,2023-09-08,46.0,41.142857142857146,41.642857142857146,5.0,6.0,0.0,0.0
1970-01-01 00:00:00.000004800,2023-09-09,41.0,41.42857142857143,41.85714285714285,-5.0,2.0,0.0,0.0
1970-01-01 00:00:00.000004801,2023-09-10,40.0,41.42857142857143,42.0,-1.0,0.0,0.0,0.0
1970-01-01 00:00:00.000004802,2023-09-11,40.0,41.42857142857143,42.07142857142857,0.0,0.0,0.0,0.0
1970-01-01 00:00:00.000004803,2023-09-12,30.0,40.0,41.42857142857143,-10.0,-10.0,0.0,0.0
1970-01-01 00:00:00.000004804,2023-09-13,41.0,39.85714285714285,40.85714285714285,11.0,-1.0,0.0,0.0
1970-01-01 00:00:00.000004805,2023-09-14,45.0,40.42857142857143,40.35714285714285,4.0,4.0,0.0,0.0
