date,open,high,low,price,volume,return,log_return,range,vol_7p,vol_24p,ma_24,ma_168,price_ma_ratio,tx_count,hashrate,fees_btc,mempool_size,miners_revenue,difficulty,fg_score
2021-08-08 00:00:00+00:00,44572.54,45310.0,43785.0,44804.51,24914.194718,0.0052043253536819,0.0051908296562376,1525.0,0.0140426707452773,0.020155703471232,40700.80625,35504.92369047619,1.1008261046425831,191623.0,113858289.12342106,9.837215589999998,768217.375,44179354.81712923,14496442856349.0,32.0
2021-08-08 08:00:00+00:00,44804.51,45198.27,43737.0,43984.55,24370.130167,-0.018300836232781,-0.0184703681051314,1461.2699999999968,0.0176837206038593,0.0206282170722871,40802.752916666665,35552.24261904762,1.0779799610538945,191623.0,113858289.12342106,9.837215589999998,1429892.484375,44179354.81712923,14496442856349.0,32.0
2021-08-08 16:00:00+00:00,43988.88,44581.0,43261.0,43794.37,20044.767813,-0.0043237909675102,-0.0043331655840229,1320.0,0.0145020984637601,0.0206577069992092,40899.942083333335,35580.6580952381,1.0707685089325871,191623.0,113858289.12342106,9.837215589999998,665130.8125,44179354.81712923,14496442856349.0,32.0
2021-08-09 00:00:00+00:00,43794.36,43960.84,42779.0,43800.74,16516.801173,0.000145452486244,0.0001454419090568,1181.8399999999965,0.0139264408393551,0.0206506885121728,40987.42041666667,35605.92892857143,1.0686386104500822,252660.0,109534556.62506332,13.536098329999996,712168.109375,43228448.21630561,14496442856349.0,32.0
2021-08-09 08:00:00+00:00,43800.74,46250.0,43600.92,45870.75,34309.098458,0.0472597038314879,0.0461769468144799,2649.0800000000017,0.0218217703185282,0.0224086793622442,41178.410833333335,35636.79428571429,1.1139514389144003,252660.0,109534556.62506332,13.536098329999996,1901046.296875,43228448.21630561,14496442856349.0,32.0
2021-08-09 16:00:00+00:00,45870.76,46454.15,44900.0,46253.4,23761.985214,0.0083419172348391,0.008307315738631,1554.1500000000017,0.0217144079139674,0.0207690283976363,41445.409166666665,35670.94375,1.1160078023116795,252660.0,109534556.62506332,13.536098329999996,5205255.21875,43228448.21630561,14496442856349.0,32.0
2021-08-10 00:00:00+00:00,46248.87,46700.0,45300.0,45948.0,15585.614094,-0.0066027578513147,-0.006624652486804,1400.0,0.0207509527533072,0.0209387921654313,41688.89041666667,35704.171488095235,1.1021641387133343,260968.0,118902643.70483848,13.957605080000002,861881.734375,48233368.67053298,14496442856349.0,32.0
2021-08-10 08:00:00+00:00,45948.0,46171.42,44856.0,45165.73,22761.539643,-0.0170251153477843,-0.0171717088539273,1315.4199999999985,0.0222758350142015,0.0212191930432534,41916.41583333333,35734.53291666667,1.0775188933039144,260968.0,118902643.70483848,13.957605080000002,1353501.375,48233368.67053298,14496442856349.0,32.0
2021-08-10 16:00:00+00:00,45161.75,45906.54,44589.46,45584.99,15467.489684,0.0092827017298291,0.0092398822372046,1317.0800000000015,0.020595327071649,0.0208111467539504,42184.63125,35766.91952380953,1.0806065775435691,260968.0,118902643.70483848,13.957605080000002,984337.09375,48233368.67053298,14496442856349.0,32.0
2021-08-11 00:00:00+00:00,45585.0,46433.67,45341.14,46349.25,14921.346892,0.016765606398071,0.0166266149847381,1092.5299999999988,0.0204956992526069,0.020425772111446,42507.79,35803.957500000004,1.090370729694487,262437.0,105931446.20976518,13.263662280000004,927995.203125,42939210.62213866,14496442856349.0,32.0
