date,open,high,low,price,volume,return,vol_7d
2024-01-07,43968.32,44480.59,43572.09,43929.02,23023.8508,-0.0008938253724500855,0.029455012451376935
2024-01-08,43929.01,47248.99,43175.0,46951.04,72814.57589,0.06879324874536241,0.035509813079456796
2024-01-09,46951.04,47972.0,44748.67,46110.0,69927.66617,-0.01791312822889546,0.036653211964924264
2024-01-10,46110.0,47695.93,44300.36,46653.99,89911.41203,0.011797657774886172,0.028951176807780064
2024-01-11,46654.0,48969.48,45606.06,46339.16,87470.3296,-0.006748190240534524,0.028533376197094413
2024-01-12,46339.16,46515.53,41500.0,42782.73,86327.93707,-0.07674783056058854,0.04291600562059453
2024-01-13,42782.74,43257.0,42436.12,42847.99,36118.47464,0.0015253818538460973,0.042959776986690144
2024-01-14,42847.99,43079.0,41720.0,41732.35,28228.40894,-0.0260371606696137,0.04380840796944956
2024-01-15,41732.35,43400.43,41718.05,42511.1,40269.89303,0.018660583456239666,0.03194379289207375
2024-01-16,42511.1,43578.01,42050.0,43137.95,45045.74589,0.014745560571238991,0.03355936109962816
2024-01-17,43137.94,43198.0,42200.69,42776.1,33266.21388,-0.008388205744593757,0.03232165574170104
2024-01-18,42776.09,42930.0,40683.28,41327.5,43907.51641,-0.0338647048234878,0.03321998116834523
2024-01-19,41327.51,42196.86,40280.0,41659.03,48342.74559,0.008022019236585853,0.020148353229727446
2024-01-20,41659.03,41872.56,41456.3,41696.04,15923.99493,0.0008884028264701804,0.020122666481215423
2024-01-21,41696.05,41881.39,41500.98,41580.33,11730.16301,-0.00277508367701107,0.017581344460714108
2024-01-22,41580.32,41689.65,39431.58,39568.02,55426.19911,-0.048395719803089654,0.022928287792626928
2024-01-23,39568.02,40176.74,38555.0,39897.6,57956.63351,0.008329453937801379,0.02188001093500884
2024-01-24,39897.59,40555.0,39484.19,40084.88,39293.82861,0.004694016682707636,0.02267300196608272
2024-01-25,40084.89,40300.24,39550.0,39961.09,31022.11853,-0.003088196846292135,0.01986062337837458
2024-01-26,39961.09,42246.82,39822.52,41823.51,47384.96726,0.04660583582680067,0.027743151145767975
2024-01-27,41823.51,42200.0,41394.34,42120.63,16224.41667,0.007104138318376307,0.027842233514051913
2024-01-28,42120.63,42842.68,41620.81,42031.06,27294.99838,-0.0021265114030820653,0.027825614930049484
2024-01-29,42031.05,43333.0,41804.88,43302.7,31542.74207,0.03025476873531141,0.01843999160413788
2024-01-30,43302.71,43882.36,42683.99,42941.1,37619.24546,-0.008350518558888909,0.020158417419934068
2024-01-31,42941.1,43745.11,42276.84,42580.0,39871.13688,-0.008409193057467013,0.021383237182967738
2024-02-01,42580.0,43285.13,41884.28,43082.94,35231.04664,0.011811648661343321,0.02072768317067504
2024-02-02,43082.95,43488.0,42546.79,43200.0,29672.14418,0.0027170847671955656,0.013552984613021988
2024-02-03,43199.99,43380.01,42880.0,43011.09,12033.40998,-0.004372916666666726,0.013905354542185439
2024-02-04,43011.1,43119.04,42222.0,42582.88,17066.89404,-0.00995580442160382,0.014686395029770611
2024-02-05,42582.88,43569.76,42258.1,42708.7,29467.75905,0.0029547085589325395,0.008040229817738628
2024-02-06,42708.7,43399.98,42574.0,43098.95,24675.85433,0.009137482526979213,0.008425383136570246
2024-02-07,43098.96,44396.5,42788.0,44349.6,34392.59915,0.029018108329785353,0.012620227430026025
2024-02-08,44349.6,45614.3,44331.1,45288.65,45439.62231,0.021173809910348673,0.0137925916167529
2024-02-09,45288.66,48200.0,45242.12,47132.77,73503.481,0.04071925305788526,0.018419145809339114
2024-02-10,47132.78,48170.0,46800.0,47751.09,24802.35936,0.013118685789101692,0.01684091564624282
2024-02-11,47751.08,48592.66,47557.16,48299.99,29958.80837,0.011495025558578842,0.013027596416662788
2024-02-12,48300.0,50334.82,47710.01,49917.27,59009.96705,0.03348406490353306,0.012141190744486828
2024-02-13,49917.28,50368.61,48300.95,49699.59,55551.56706,-0.004360815405169416,0.015296304109086918
2024-02-14,49699.6,52043.71,49225.01,51795.17,57046.37401,0.04216493536465804,0.017183659006695908
2024-02-15,51795.17,52816.62,51314.0,51880.0,53816.03055,0.001637797501195637,0.01893966586558024
2024-02-16,51880.01,52572.08,51566.0,52124.11,37772.25318,0.004705281418658558,0.01709632079473396
2024-02-17,52124.1,52162.82,50625.0,51642.64,25674.00622,-0.00923699224792518,0.01935890693867164
2024-02-18,51642.64,52377.0,51163.28,52137.67,21992.10363,0.009585683458475325,0.019371001942559894
