Date,Close,High,Low,Open,Volume,MVRV_proxy,exchange_net_flow_proxy,miner_revenue_proxy,Target_Direction
2022-05-08,34059.265625,35502.94140625,33878.96484375,35502.94140625,36763041910,1.0,34149251754.57143,3.4059265625000004,0
2022-05-09,30296.953125,34222.07421875,30296.953125,34060.015625,63355494961,1.0,38496802116.71429,3.0296953125000003,1
2022-05-10,31022.90625,32596.30859375,29944.802734375,30273.654296875,59811038817,1.0,43137387198.57143,3.102290625,0
2022-05-11,28936.35546875,32013.40234375,28170.4140625,31016.18359375,70388855818,1.0,47942308816.85714,2.893635546875,1
2022-05-12,29047.751953125,30032.439453125,26350.490234375,28936.734375,66989173272,1.0,51354154096.14286,2.9047751953125003,1
2022-05-13,29283.103515625,30924.802734375,28782.330078125,29030.91015625,42841124537,1.0,52074946531.57143,2.9283103515625,1
2022-05-14,30101.265625,30192.802734375,28702.91015625,29285.642578125,28579868620,1.0,52675513990.71429,3.0101265625,1
2022-05-15,31305.11328125,31308.19140625,29527.740234375,30098.5859375,25835372065,1.0,51114418298.57143,3.1305113281250003,0
2022-05-16,29862.91796875,31305.341796875,29251.884765625,31304.375,32613897286,1.0,46722761487.85714,2.9862917968750002,1
2022-05-17,30425.857421875,30694.490234375,29570.302734375,29862.408203125,29101473475,1.0,42335680724.71429,3.0425857421875,0
2022-05-18,28720.271484375,30618.716796875,28720.271484375,30424.478515625,31285268319,1.0,36749453939.14286,2.8720271484375,1
2022-05-19,30314.333984375,30430.751953125,28708.955078125,28720.359375,33773447707,1.0,32004350287.0,3.0314333984375,0
2022-05-20,29200.740234375,30664.9765625,28793.60546875,30311.119140625,30749382605,1.0,30276958582.42857,2.9200740234375,1
2022-05-21,29432.2265625,29588.869140625,29027.39453125,29199.859375,17274840442,1.0,28661954557.0,2.94322265625,1
2022-05-22,30323.72265625,30425.861328125,29275.18359375,29432.47265625,21631532270,1.0,28061406014.857143,3.0323722656250003,0
2022-05-23,29098.91015625,30590.5859375,28975.560546875,30309.396484375,31483454557,1.0,27899914196.42857,2.909891015625,1
2022-05-24,29655.5859375,29774.35546875,28786.58984375,29101.125,26616506245,1.0,27544918877.857143,2.96555859375,0
2022-05-25,29562.361328125,30157.78515625,29384.94921875,29653.134765625,27525063551,1.0,27007746768.142857,2.9562361328125,0
2022-05-26,29267.224609375,29834.16015625,28261.90625,29564.77734375,36774325352,1.0,27436443574.57143,2.9267224609375,0
2022-05-27,28627.57421875,29346.943359375,28326.61328125,29251.140625,36582005748,1.0,28269675452.142857,2.862757421875,1
